topic	official	v1	v2	v3	v4	v5
41	What are the impacts of COVID-19 among african-americans that differ from the rest of the U.S. population?	african-american impact of covid how does it differ	impacts of COVID-19 among african-americans	mpacts of COVID-19 among african-americans		
42	Does vitamin D impact COVID-19 prevention and treatment?	vitamin D impact COVID-19 prevention	can vit.d stop covid	COVID and Vitamin D	vitamin d and covid	
43	How has the COVID-19 pandemic impacted violence in society, including violent crimes?	covid impact on violent crimes	COVID and violence	crime related to covid in society	covid 19 violance	COVID-19 pandemic impacted violence in society
44	How much impact do masks have on preventing the spread of the COVID-19?	Do masks prevent spreading corona virus?	masks to prevent covid19	masksCOVID-19	masks prevent spread of COVID-19	
45	How has the COVID-19 pandemic impacted mental health?	covid impact on mental health	Covid-19 affects on mental health	covid-19 mental health	COVID-19 pandemic impacted mental health	COVID-19 pandemic impacted mental health
46	What evidence is there for dexamethasone as a treatment for COVID-19?	What evidence dexamethasone for covid-19	COVID and dexamethasone	dexamethasone COVID-19	dexamethasone treatment evidence COVID-19	
47	What are the health outcomes for children who contract COVID-19?	how does coronavirus affect kids	how does covid affect children?	health outcomes for children ccovid		
48	What are the benefits and risks of re-opening schools in the midst of the COVID-19 pandemic?	risk reward opening schools covid-19	benefits and risks reopening schools during covid pandemic	benefits and risks of re-opening schools	Pros cons of opening schools	
49	Do individuals who recover from COVID-19 show sufficient immune response, including antibody levels and t-cell mediated immunity, to prevent re-infection?	can you get reinfected with covid	can people who have been infected prevent reinfection through immuneresponse?	covid immunity response	COVID-19 show sufficient immune response	recover from COVID-19 show sufficient immune response
50	What is known about a mRNA vaccine for the sars-cov-2 virus?	information is about mRNA vaccine	What is known vaccine sars-cov-2	mRNA vaccine sars-cov-2 virus	mrna vaccine coronavirus	COVID mRNA vaccine
